;animal name;Cluster KMeans;hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;legs;tail;domestic;catsize
0;aardvark;1;1;0;0;1;0;0;1;1;1;1;0;0;4;0;0;1
1;antelope;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
2;bass;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
3;bear;1;1;0;0;1;0;0;1;1;1;1;0;0;4;0;0;1
4;boar;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
5;buffalo;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
6;calf;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
7;carp;3;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0
8;catfish;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
9;cavy;1;1;0;0;1;0;0;0;1;1;1;0;0;4;0;1;0
10;cheetah;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
11;chicken;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;1;0
12;chub;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
13;clam;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
14;crab;4;0;0;1;0;0;1;1;0;0;0;0;0;4;0;0;0
15;crayfish;4;0;0;1;0;0;1;1;0;0;0;0;0;6;0;0;0
16;crow;2;0;1;1;0;1;0;1;0;1;1;0;0;2;1;0;0
17;deer;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
18;dogfish;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1
19;dolphin;6;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1
20;dove;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;1;0
21;duck;2;0;1;1;0;1;1;0;0;1;1;0;0;2;1;0;0
22;elephant;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
23;flamingo;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;1
24;flea;4;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0
25;frog;0;0;0;1;0;0;1;1;1;1;1;0;0;4;0;0;0
26;frog;0;0;0;1;0;0;1;1;1;1;1;1;0;4;0;0;0
27;fruitbat;6;1;0;0;1;1;0;0;1;1;1;0;0;2;1;0;0
28;giraffe;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
29;girl;6;1;0;0;1;0;0;1;1;1;1;0;0;2;0;1;1
30;gnat;4;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0
31;goat;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
32;gorilla;6;1;0;0;1;0;0;0;1;1;1;0;0;2;0;0;1
33;gull;2;0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0
34;haddock;3;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0
35;hamster;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;0
36;hare;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;0
